Disease,Plant,Causal_Organism,Organic_Treatment_1,Organic_Treatment_2,Organic_Treatment_3,Organic_Treatment_4,Chemical_Treatment_1,Chemical_Treatment_2,Chemical_Treatment_3,Chemical_Treatment_4,Source
Rhytidodera bowrinii white,Mulberry / Mango,Rhytidodera bowrinii (Cerambycidae - long-horn borer),Neem oil 5ml/L spray,Prune and destroy infested branches,Inject kerosene or wire into bore holes,Light traps 2/ha,"Acephate, Imidacloprid, Methomyl",Acephate 75SP @ 1g/L,Imidacloprid 17.8SL @ 0.5ml/L,Methomyl 40SP @ 1g/L,TNAU/ICAR
rice gall midge,Rice,Orseolia oryzae (Cecidomyiidae),Neem oil 5ml/L spray,NSKE 5% spray,Light traps 2/ha,Destroy infested tillers (silvershoot),"Cartap hydrochloride, Chlorpyrifos, Fipronil",Cartap hydrochloride 50SP @ 1g/L,Fipronil 5SC @ 1ml/L,Chlorpyrifos 20EC @ 2ml/L,TNAU/ICAR Rice IPM
rice leaf caterpillar,Rice,Marasmia patnalis / Naranga aenescens (Pyralidae),BT spray 1kg/ha,Light traps 2/ha,Pheromone traps 10/ha,Hand picking of larvae,"Cartap hydrochloride, Chlorantraniliprole, Emamectin benzoate",Cartap hydrochloride 50SP @ 1g/L,Chlorantraniliprole 18.5SC @ 0.3ml/L,Emamectin benzoate 5SG @ 0.4g/L,TNAU/ICAR Rice IPM
rice leaf roller,Rice,Cnaphalocrocis medinalis (Pyralidae),Trichogramma release 50000/ha,BT 1kg/ha spray,Light traps 2/ha,NSKE 5% spray,"Chlorpyrifos, Cypermethrin, Indoxacarb",Cypermethrin 25EC @ 1ml/L,Indoxacarb 14.5SC @ 1ml/L,Chlorpyrifos 20EC @ 2ml/L,TNAU/ICAR Rice IPM
rice leafhopper,Rice,Nephotettix virescens / N. nigropictus (Cicadellidae),Neem oil 5ml/L spray,Yellow sticky traps 10/ha,NSKE 5% spray,Maintain proper water management,"Imidacloprid, Thiamethoxam, Chlorpyrifos",Thiamethoxam 25WG @ 0.3g/L,Chlorpyrifos 20EC @ 2ml/L,Imidacloprid 17.8SL @ 0.5ml/L,TNAU/ICAR Rice IPM
rice shell pest,Rice,Lissorhoptrus oryzophilus / Chaetocnema spp.,Neem oil 5ml/L spray,NSKE 5% spray,Proper water management,Remove weeds,"Cartap, Methomyl, Carbaryl",Cartap hydrochloride 50SP @ 1g/L,Methomyl 40SP @ 1g/L,Carbaryl 50WP @ 2g/L,TNAU/ICAR Rice IPM
Rice Stemfly,Rice,Atherigona oryzae (Muscidae) / Melanagromyza sp.,Neem oil 5ml/L spray,NSKE 5% spray,Remove deadheart tillers,Yellow sticky traps 10/ha,"Neonicotinoids, Fipronil, Imidacloprid",Fipronil 5SC @ 1ml/L,Imidacloprid 17.8SL @ 0.5ml/L,Carbofuran 3G @ 33kg/ha soil,TNAU/ICAR Rice IPM
rice water weevil,Rice,Lissorhoptrus oryzophilus (Curculionidae),Neem oil 5ml/L spray,Drain field to reduce egg-laying,NSKE 5% spray,Neem cake 250kg/ha soil,"Carbofuran, Chlorpyrifos, Imidacloprid",Carbofuran 3G @ 33kg/ha soil,Chlorpyrifos 20EC @ 2ml/L,Imidacloprid 17.8SL @ 0.5ml/L seed treatment,TNAU/ICAR Rice IPM
Rust,Sugarcane,Puccinia melanocephala / Puccinia kuehnii,Neem oil 5ml/L spray,Silicon fertilizer application (ICAR),Use resistant varieties,Roguing heavily infected plants,Propiconazole 25EC @ 1ml/L (TNAU Fungicide PDF),Mancozeb 75WP @ 2.5g/L,Triadimefon 25WP @ 1g/L,Tebuconazole 25EC @ 1ml/L,TNAU Fungicide PDF / ICAR
Salurnis marginella Guerr,Sugarcane / Grasses,Salurnis marginella (Flatid planthopper),Neem oil 5ml/L spray,NSKE 5% spray,Remove weed hosts,Yellow sticky traps,"Methomyl, Chlorpyrifos, Carbaryl",Methomyl 40SP @ 1g/L,Chlorpyrifos 20EC @ 2ml/L,Carbaryl 50WP @ 2g/L,TNAU/ICAR
sawfly,Wheat / Rose / Pine / Vegetables,Various Tenthredinidae (Hymenoptera),Neem oil 5ml/L spray,NSKE 5% spray,Hand picking of larvae,Light traps 2/ha,"Malathion, Carbaryl, Cypermethrin",Malathion 50EC @ 2ml/L,Carbaryl 50WP @ 2g/L,Cypermethrin 25EC @ 1ml/L,TNAU/ICAR
Scirtothrips dorsalis Hood,Chilli / Mango / Tea / Grapes,Scirtothrips dorsalis (Chilli thrips - Thripidae),Neem oil 5ml/L spray,Blue sticky traps 10/ha,NSKE 5% spray,Reflective silver mulch,"Spinosad, Abamectin, Imidacloprid",Abamectin 1.8EC @ 0.5ml/L,Imidacloprid 17.8SL @ 0.5ml/L,Spinosad 45SC @ 0.5ml/L,TNAU/ICAR-IIHR Chilli IPM
Septoria Leaf Spot,Tomato,Septoria lycopersici,Pseudomonas fluorescens + Trichoderma harzianum seedling dip (ICAR-NCIPM 2023),Copper Bordeaux mixture 1%,Remove lower infected leaves,Neem oil 5ml/L spray,Mancozeb 75WP @ 2.5g/L (ICAR-NCIPM; TNAU),Chlorothalonil 75WP @ 2g/L (Daconil — controls 65+ fungal diseases),Copper oxychloride 50WP @ 3g/L (TNAU Fungicide PDF Tomato),Azoxystrobin 23SC @ 500ml/ha,ICAR-NCIPM 2023 / TNAU Fungicide PDF
sericaorient alismots chulsky,Maize / Multiple crops,Serica orientalis (Scarabaeidae - chafer grub),Neem cake 250kg/ha soil,Entomopathogenic nematodes soil drench,Deep ploughing in summer,Light traps for adults,"Thiamethoxam, Clothianidin, Imidacloprid",Clothianidin 50WDG @ 3g/kg seed treatment,Imidacloprid 17.8SL soil drench,Thiamethoxam 25WG @ 3g/kg seed treatment,TNAU/ICAR
small brown plant hopper,Rice,Laodelphax striatellus (Delphacidae),Neem oil 5ml/L spray,NSKE 5% spray,Yellow sticky traps 10/ha,Proper water management,"Imidacloprid, Chlorpyrifos, Acephate",Imidacloprid 17.8SL @ 0.5ml/L,Chlorpyrifos 20EC @ 2ml/L,Acephate 75SP @ 1g/L,TNAU/ICAR Rice IPM
Sooty Mould,Mango,Capnodium mangiferae (secondary — on honeydew),Neem oil 5ml/L spray to kill scale/aphid source insects,Starch + soap spray to physically remove mould,Beauveria bassiana for mealybug (ICAR-IIHR),Wash leaves with soap water,Imidacloprid 17.8SL @ 0.5ml/L for scale/mealybug source insects,Thiamethoxam 25WG @ 0.3g/L,Copper oxychloride 50WP @ 3g/L (TNAU),Carbendazim 50WP @ 1g/L,TNAU/ICAR-IIHR
Spider Mites / Two-Spotted Spider Mite,Tomato,Tetranychus urticae,Neem oil 5ml/L — ICAR-IIHR: spray lower leaf surface,Neem soap 1% or neem oil 1% (ICAR-IIHR IPM),Release predatory mites Phytoseiulus persimilis,Garlic + chilli spray 5ml/L,Dicofol 18.5EC @ 1.5ml/L (ICAR-IIHR: for red spider mite on tomato),Ethion 50EC @ 1.5ml/L (ICAR-IIHR),Sulphur 80WP @ 3g/L,Abamectin 1.8EC @ 0.5ml/L; Spiromesifen 22.9SC 400ml/ha (TNAU: Red Spider Mite Brinjal),ICAR-IIHR IPM Practices / TNAU Crop Pesticide PDF
Spilosoma Obliqua,Jute / Cotton / Vegetables,Spilosoma obliqua (Bihar hairy caterpillar - Arctiidae),BT spray 1kg/ha,Light traps 2/ha,Hand picking of egg masses,Neem oil 5ml/L,"Bacillus thuringiensis, Cypermethrin, Chlorantraniliprole",Cypermethrin 25EC @ 1ml/L,Chlorantraniliprole 18.5SC @ 0.3ml/L,Carbaryl 50WP @ 2g/L,TNAU/ICAR
stem borer,Rice / Sugarcane / Maize,Scirpophaga incertulas / Chilo partellus (Pyralidae),Trichogramma egg parasitoid release 50000/ha,BT 1kg/ha spray,Light traps 2/ha,Pheromone traps 10/ha,"Neonicotinoids, Pyrethroids, Chlorantraniliprole",Pyrethroids (Cypermethrin) @ 1ml/L,Chlorantraniliprole 18.5SC @ 0.3ml/L,Carbofuran 3G @ 33kg/ha soil,TNAU/ICAR Rice/Sugarcane IPM
Sternochetus frigidus,Mango,Sternochetus frigidus (Mango stone weevil - Curculionidae),Neem oil 5ml/L spray,Collect and destroy fallen fruits,Metarhizium anisopliae biopesticide soil drench,NSKE 5% spray,"Chlorpyrifos, Carbaryl, Imidacloprid",Carbaryl 50WP @ 2g/L,Imidacloprid 17.8SL @ 0.5ml/L,Chlorpyrifos 20EC @ 2ml/L,TNAU/ICAR Mango IPM
Target Spot,Tomato,Corynespora cassiicola,Pseudomonas fluorescens 5ml/L spray (ICAR),Copper Bordeaux mixture 1%,Remove infected leaves; improve air circulation,Neem oil 5ml/L spray,Mancozeb 75WP @ 2.5g/L (TNAU/ICAR),Chlorothalonil 75WP @ 2g/L,Azoxystrobin 23SC @ 500ml/ha,Captan 75WP @ 1.67g/L (TNAU Fungicide PDF),TNAU/ICAR-NCIPM
Target Spot,Cotton,Corynespora cassiicola,Neem oil 5ml/L spray,Remove and burn infected leaves,Trichoderma viride soil drench,Crop rotation,Mancozeb 75WP @ 2.5g/L,Carbendazim 50WP @ 1g/L (TNAU: Cotton Leaf spot),Azoxystrobin 23SC @ 500ml/ha,Hexaconazole 5EC @ 1ml/L,TNAU Fungicide PDF
tarnished plant bug,Vegetables / Strawberry / Alfalfa,Lygus lineolaris (Miridae),Neem oil 5ml/L spray,NSKE 5% spray,Remove weed hosts,Row covers for young plants,"Imidacloprid, Lambda-cyhalothrin, Methomyl",Lambda-cyhalothrin 5EC @ 1ml/L,Methomyl 40SP @ 1g/L,Imidacloprid 17.8SL @ 0.5ml/L,TNAU/ICAR
Termite,Multiple crops / Sugarcane / Groundnut,Odontotermes spp. / Microtermes spp. (Termitidae),Neem cake 250kg/ha soil application,Entomopathogenic nematodes soil drench,Deep summer ploughing,Remove dead wood and stumps,"Chlorpyrifos, Imidacloprid, Fipronil",Imidacloprid 17.8SL soil drench @ 3ml/L,Fipronil 5SC soil drench @ 2ml/L,Chlorpyrifos 20EC @ 5L/ha soil drench,TNAU/ICAR
Termite odontotermes (Rambur),Sugarcane / Multiple crops,Odontotermes obesus (Rambur) (Termitidae),Neem cake 250kg/ha soil application,Entomopathogenic nematodes soil drench,Deep summer ploughing,Remove dead wood and stumps,"Chlorpyrifos, Imidacloprid, Fipronil",Imidacloprid 17.8SL soil drench @ 3ml/L,Fipronil 5SC soil drench @ 2ml/L,Chlorpyrifos 20EC @ 5L/ha soil drench,TNAU/ICAR Sugarcane IPM
Tetradacus c Bactrocera minax,Citrus,Bactrocera minax (Chinese citrus fly - Tephritidae),Methyl eugenol pheromone traps 25/ha,Protein bait traps,Collect and destroy fallen fruits,Neem oil 5ml/L spray,"Malathion, Spinosad, Imidacloprid",Malathion 50EC bait spray @ 2ml/L,Spinosad 45SC bait @ 0.5ml/L,Imidacloprid 17.8SL @ 0.5ml/L,TNAU/ICAR Citrus IPM
therioaphis maculata Buckton,Alfalfa / Legumes,Therioaphis maculata (Spotted alfalfa aphid - Aphididae),Neem oil 5ml/L spray,NSKE 5% spray,Release ladybird beetles,Soap water spray,"Imidacloprid, Acetamiprid, Thiamethoxam",Imidacloprid 17.8SL @ 0.5ml/L,Acetamiprid 20SP @ 0.5g/L,Thiamethoxam 25WG @ 0.3g/L,TNAU/ICAR
Thrips,Chilli / Onion / Cotton / Multiple,Thrips tabaci / Frankliniella occidentalis (Thripidae),Neem oil 5ml/L spray,Blue sticky traps 10/ha,NSKE 5% spray,Reflective silver mulch,"Spinosad, Abamectin, Imidacloprid",Abamectin 1.8EC @ 0.5ml/L,Imidacloprid 17.8SL @ 0.5ml/L,Spinosad 45SC @ 0.5ml/L,TNAU/ICAR-IIHR
Tomato Mosaic Virus,Tomato,Tomato Mosaic Virus (ToMV) — mechanically/contact transmitted,Remove infected plants immediately,Sterilize tools with bleach between plants,Neem oil 5ml/L for aphid vector,Crop rotation with non-solanaceous crops,Imidacloprid 17.8SL @ 0.3ml/L for aphid vector (ICAR-IIHR IPM),Thiamethoxam 25WG @ 0.3g/L (ICAR-IIHR: seedling spray for vectors),Dimethoate 30EC @ 2ml/L (TNAU) for aphids,No direct antiviral chemical — vector + sanitation only,ICAR-IIHR IPM Practices / TNAU
Tomato Yellow Leaf Curl Virus,Tomato,Tomato Yellow Leaf Curl Virus (TYLCV) — whitefly (Bemisia tabaci) transmitted,Yellow sticky traps @ 10/ha (ICAR-NCIPM 2023),Silver/reflective mulch (ICAR-NCIPM: repels whitefly),Neem oil 5ml/L for whitefly control,Rogue and destroy infected plants,Imidacloprid 200SL @ 0.3ml/L seedling spray (ICAR-IIHR IPM),Thiamethoxam 25WG @ 0.3g/L (ICAR-IIHR: 15 days after transplant),Acetamiprid 20SP @ 0.5g/L for whitefly,Spiromesifen 22.9SC @ 400ml/ha for whitefly (TNAU),ICAR-IIHR IPM Practices / ICAR-NCIPM 2023
Toxoptera aurantii,Citrus / Tea / Cocoa,Toxoptera aurantii (Black citrus aphid - Aphididae),Neem oil 5ml/L spray,NSKE 5% spray,Release ladybird beetles,Soap water spray,"Imidacloprid, Thiamethoxam, Chlorpyrifos",Imidacloprid 17.8SL @ 0.5ml/L,Thiamethoxam 25WG @ 0.3g/L,Chlorpyrifos 20EC @ 2ml/L,TNAU/ICAR
Toxoptera citricidus,Citrus,Toxoptera citricidus (Brown citrus aphid - Aphididae),Neem oil 5ml/L spray,NSKE 5% spray,Release ladybird beetles,Soap water spray,"Imidacloprid, Thiamethoxam, Chlorpyrifos",Imidacloprid 17.8SL @ 0.5ml/L,Thiamethoxam 25WG @ 0.3g/L,Chlorpyrifos 20EC @ 2ml/L,TNAU/ICAR Citrus IPM
Trialeurodes vaporariorum,Tomato / Cucumber / Vegetables (Greenhouse),Trialeurodes vaporariorum (Greenhouse whitefly - Aleyrodidae),Neem oil 5ml/L spray,Yellow sticky traps 10/ha,Release Encarsia formosa parasitoid,NSKE 5% spray,"Neonicotinoids, Pyrethroids, Imidacloprid",Pyrethroids (Cypermethrin) @ 1ml/L,Imidacloprid 17.8SL @ 0.5ml/L,Spiromesifen 22.9SC @ 0.5ml/L,TNAU/ICAR
Unaspis yanonensis,Citrus,Unaspis yanonensis (Arrowhead scale - Diaspididae),Neem oil 5ml/L spray,Soap water spray 10g/L,Release Aphytis yanonensis parasitoid,NSKE 5% spray,"Imidacloprid, Chlorpyrifos, Abamectin",Chlorpyrifos 20EC @ 2ml/L,Abamectin 1.8EC @ 0.5ml/L,Imidacloprid 17.8SL @ 0.5ml/L,TNAU/ICAR
Unknown Disease,General,Unknown,Neem oil 5ml/L spray as broad-spectrum biopesticide,Bordeaux mixture 1% for fungal/bacterial diseases,Remove and burn infected plant material,Consult local Krishi Vigyan Kendra (KVK) for diagnosis,Mancozeb 75WP @ 2.5g/L as broad-spectrum protectant fungicide,Copper oxychloride 50WP @ 3g/L (bacterial/fungal),Carbendazim 50WP @ 1g/L systemic fungicide,Send sample to ICAR Plant Pathology Lab or State Agriculture University,ICAR/KVK
Viteus vitifoliae,Grape,Daktulosphaira vitifoliae (Grape phylloxera - Phylloxeridae),Neem oil 5ml/L spray,Resistant rootstocks (best long-term solution),NSKE 5% spray,Flood irrigation to kill soil-dwelling nymphs,"Pyrethroids, Organophosphates, Neonicotinoids",Pyrethroids (Cypermethrin) @ 1ml/L,Organophosphates (Chlorpyrifos 20EC) @ 2ml/L,Neonicotinoids (Imidacloprid) @ 0.5ml/L,TNAU/ICAR Grape IPM
wheat blossom midge,Wheat,Sitodiplosis mosellana (Cecidomyiidae),Neem oil 5ml/L spray,NSKE 5% spray,Early or late sowing to avoid peak emergence,Light traps 2/ha,"Chlorpyrifos, Imidacloprid, Lambda-cyhalothrin",Imidacloprid 17.8SL @ 0.5ml/L,Lambda-cyhalothrin 5EC @ 1ml/L,Chlorpyrifos 20EC @ 2ml/L,TNAU/ICAR Wheat IPM
wheat phloeothrips,Wheat,Haplothrips tritici (Phlaeothripidae),Neem oil 5ml/L spray,Blue sticky traps 10/ha,NSKE 5% spray,Deep ploughing after harvest,"Imidacloprid, Thiamethoxam, Chlorpyrifos",Imidacloprid 17.8SL @ 0.5ml/L,Thiamethoxam 25WG @ 0.3g/L,Chlorpyrifos 20EC @ 2ml/L,TNAU/ICAR Wheat IPM
wheat sawfly,Wheat,Cephus cinctus / Trachelus tabidus (Cephidae),Neem oil 5ml/L spray,NSKE 5% spray,Crop rotation with non-host crops,Early harvest,"Chlorpyrifos, Acetamiprid, Imidacloprid",Chlorpyrifos 20EC @ 2ml/L,Acetamiprid 20SP @ 0.5g/L,Imidacloprid 17.8SL @ 0.5ml/L,TNAU/ICAR
white backed plant hopper,Rice,Sogatella furcifera (Delphacidae),Neem oil 5ml/L spray,NSKE 5% spray,Drain field to break pest cycle,Release Cyrtorhinus predator,"Imidacloprid, Thiamethoxam, Chlorpyrifos",Imidacloprid 17.8SL @ 0.5ml/L,Thiamethoxam 25WG @ 0.3g/L,Chlorpyrifos 20EC @ 2ml/L,TNAU/ICAR Rice IPM
white margined moth,Multiple crops,Nyctemera lacticinia / Spilarctia obliqua (Arctiidae),BT spray 1kg/ha,Light traps 2/ha,Hand picking of egg masses,Neem oil 5ml/L spray,"Chlorantraniliprole, Spinosad, Bacillus thuringiensis",Chlorantraniliprole 18.5SC @ 0.3ml/L,Spinosad 45SC @ 0.5ml/L,BT (Bacillus thuringiensis) 1kg/ha,TNAU/ICAR
whitefly,Tomato / Cotton / Vegetables,Bemisia tabaci / Trialeurodes vaporariorum (Aleyrodidae),Neem oil 5ml/L spray,Yellow sticky traps 10/ha,Release Encarsia parasitoid,Reflective silver mulch,"Imidacloprid, Thiamethoxam, Pyrethroids",Thiamethoxam 25WG @ 0.3g/L,Pyrethroids (Cypermethrin 25EC) @ 1ml/L,Acetamiprid 20SP @ 0.5g/L,TNAU/ICAR-NCIPM
wireworm,Potato / Maize / Vegetables,Agriotes spp. (Elateridae - click beetle larvae),Neem cake 250kg/ha soil application,Deep ploughing in summer,Entomopathogenic nematodes soil drench,Crop rotation with non-host crops,"Chlorpyrifos, Imidacloprid, Fipronil",Imidacloprid 17.8SL soil drench @ 0.5ml/L,Fipronil 5SC soil drench @ 2ml/L,Chlorpyrifos 20EC @ 5L/ha soil drench,TNAU/ICAR
Xylotrechus,Mulberry / Mango / Timber trees,Xylotrechus quadripes / X. grayii (Cerambycidae),Neem oil 5ml/L spray,Prune and burn infested branches,Inject kerosene into bore holes,Light traps 2/ha,"Methoxyfenozide, Chlorpyrifos, Fipronil",Chlorpyrifos 20EC @ 2ml/L,Fipronil 5SC @ 2ml/L,Imidacloprid 17.8SL @ 0.5ml/L,TNAU/ICAR
yellow cutworm,Vegetables / Cereals,Agrotis segetum (Noctuidae),BT soil drench 1kg/ha,Neem cake 250kg/ha soil,Light traps 2/ha,Deep summer ploughing,"Chlorpyrifos, Methomyl, Carbaryl",Methomyl 40SP @ 1g/L,Carbaryl 50WP @ 2g/L,Chlorpyrifos 20EC @ 3ml/L soil drench,TNAU/ICAR
Yellow Disease,Sugarcane,Sugarcane Yellow Leaf Syndrome Virus (ScYLV) — aphid (Melanaphis sacchari) transmitted,Use virus-free healthy setts from certified source,Remove and burn infected plants immediately,Neem oil 5ml/L for aphid vector control,Rogue heavily infected fields,Imidacloprid 17.8SL @ 0.5ml/L for aphid leafhopper vector (TNAU),Thiamethoxam 25WG @ 0.3g/L for aphid control,Dimethoate 30EC @ 2ml/L (TNAU),No direct antiviral chemical available — vector control only,TNAU Expert System Sugarcane / ICAR
Yellow Mite,Chilli / Tea / Papaya / Vegetables,Polyphagotarsonemus latus (Broad mite / Yellow mite - Tarsonemidae),Neem oil 5ml/L spray,Sulfur dust 25kg/ha,Wettable sulfur 80WP @ 3g/L,Release predatory mites,"Spiromesifen, Abamectin, Fenazaquin",Abamectin 1.8EC @ 0.5ml/L,Fenazaquin 10EC @ 1ml/L,Spiromesifen 22.9SC @ 0.5ml/L,TNAU/ICAR Chilli IPM
yellow rice borer,Rice,Scirpophaga incertulas (Pyralidae - yellow stem borer),Trichogramma egg parasitoid release 50000/ha,BT spray 1kg/ha,Light traps 2/ha,Pheromone traps 10/ha,"Chlorpyrifos, Neonicotinoids, Fipronil",Neonicotinoids (Thiamethoxam 25WG) @ 0.3g/L,Fipronil 5SC @ 1ml/L,Chlorantraniliprole 18.5SC @ 0.3ml/L,TNAU/ICAR Rice IPM
